,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
1965,2020-03-22,tsnvtlolii,Lolii,"Iya nih billboard nya berguna banget untuk warga indonesia. Salut bngt sama @koinworks semoga yg lain jg punya inisiatif begini supaya setiap melihat billboard selalu ingat ksehatan.Yuk patuhi #GerakanSocialDistancing supaya lebih mengurangi jumlah covid-19 ,tetap #DiRumahAja",[],0,3,"['#gerakansocialdistancing', '#dirumahaja']",eb6d7198-a654-485b-ae1e-9cedd6dae651
1966,2020-03-22,tsnvtlolii,Lolii,Mantep bgttt sat,[],0,0,[],0cf017d8-0f68-453f-a8a0-114f3ecd2505
1967,2020-03-22,sofiafdd_,PIA,Itu di jalan mana kok tadi aku juga lihat😭,[],0,0,[],a05f2477-fadd-4145-83cb-5a3529881d49
1968,2020-03-22,hasyimarr,Manusia Terkuat,Salut banget liat billboard dari @koinworks selalu mengingatkan dan menghimbau masyarakat. Agar kita #DirumahAja tetap jaga diri dan tidak panik untuk menghindari terinveksinya virus corona. #GerakanSocialDistancing,[],0,0,"['#dirumahaja', '#gerakansocialdistancing']",f21fdf2b-b772-49e7-b8de-b0c05a459846
1969,2020-03-22,candrasaputra__,SEMANGATTT,"Aku baru dapat gini dari temen, tentang billboard @koinworks buat masyarakat semua bahaya nya covid-19. Ayok kita mengingatkan #GerakanSocialDistancing
#DiRumahAjaDulu pic.twitter.com/ND2wlRMr9P",[],0,3,"['#gerakansocialdistancing', '#dirumahajadulu']",1a1b0a9d-a615-42ed-9b8b-5d929fd6978c
1970,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],f123acaf-7e04-4028-abf9-452442304a76
1971,2020-03-22,bukanisol,FAISOL ABRORI 🦄,"Iya tetap itu, makanya billboard KoinWorks ini pas banget",[],0,0,[],affdf404-ca12-4dc8-8d80-875c64a97c39
1972,2020-03-22,helenamantra,Helena Safitri,"Iyaa emang ga kemana-mana, Teh",[],1,2,[],be89c967-43c0-4215-a8ba-1b44300f7f34
1973,2020-03-22,nanakimiko___,Mikoo,Mw kak,[],0,0,[],81b0d82f-23c2-4786-afd1-8b60f403ce73
1974,2020-03-22,julianmj_,𝐉 𝐔 𝐋,Ekhem,[],0,0,[],4cde47b6-eebc-403d-9f73-80444cd92851
